,x,y,target
266,3.2,13.99,1
267,1.0,0.7,0
268,2.6,22.56,1
269,4.77,20.28,1
270,1.5,3.9,0
271,1.35,23.83,1
272,4.37,7.48,1
273,2.3,13.1,0
274,3.94,24.28,1
275,4.3,12.86,1
276,0.7,7.3,0
277,2.98,23.23,1
278,4.98,12.81,1
279,1.3,5.5,0
280,2.94,21.44,1
281,3.88,17.26,1
282,2.0,10.5,0
283,1.38,24.84,1
284,3.25,21.78,1
285,1.7,18.6,0
286,3.23,22.02,1
287,3.2,24.65,1
288,1.0,15.8,0
289,4.82,22.88,1
290,3.66,18.83,1
291,2.3,8.2,0
292,2.87,20.98,1
293,4.89,7.22,1
294,1.6,5.3,0
295,1.15,24.55,1
296,3.88,11.98,1
297,1.7,6.2,0
298,4.79,24.3,1
299,4.2,24.64,1
